Sexo;Edad;Periodo;Total
Total;25 años;2023;503.117,728481
Total;25 años;2022;485.133,960949
Total;26 años;2072;571.770,99101
Total;26 años;2071;573.638,582023
Total;26 años;2070;574.866,503641
Total;26 años;2069;575.350,634512
Total;26 años;2068;575.006,148202
Total;26 años;2067;573.866,346313
Total;26 años;2066;571.980,836313
Total;26 años;2065;569.445,130394
Total;26 años;2064;566.362,399731
Total;26 años;2063;562.889,747636
Total;26 años;2062;557.621,108887
Total;26 años;2061;552.193,066325
Total;26 años;2060;546.733,418358
Total;26 años;2059;541.397,164098
Total;26 años;2058;536.306,8282
Total;26 años;2057;531.509,651869
Total;26 años;2056;527.041,253726
Total;26 años;2055;522.934,0452
Total;26 años;2054;519.207,757586
Total;26 años;2053;515.869,887438
Total;26 años;2052;512.984,71752
Total;26 años;2051;510.651,32084
Total;26 años;2050;508.947,87887
Total;26 años;2049;508.002,935036
Total;26 años;2048;510.022,558982
Total;26 años;2047;512.389,459127
Total;26 años;2046;527.031,696227
Total;26 años;2045;538.014,041848
Total;26 años;2044;557.627,624193
Total;26 años;2043;574.842,667401
Total;26 años;2042;583.552,209159
Total;26 años;2041;589.236,167558
Total;26 años;2040;585.372,432505
Total;26 años;2039;609.532,557506
Total;26 años;2038;627.463,903256
Total;26 años;2037;633.738,446979
Total;26 años;2036;645.574,731269
Total;26 años;2035;672.727,36288
Total;26 años;2034;656.352,059929
Total;26 años;2033;652.511,467832
Total;26 años;2032;640.453,744393
Total;26 años;2031;631.598,842308
Total;26 años;2030;619.481,899407
Total;26 años;2029;596.658,178931
Total;26 años;2028;586.301,562139
Total;26 años;2027;575.347,860893
Total;26 años;2026;553.477,9162
Total;26 años;2025;529.044,254985
Total;26 años;2024;519.883,571979
Total;26 años;2023;501.930,703197
Total;26 años;2022;488.422,76472
Total;27 años;2072;585.872,3281
Total;27 años;2071;587.017,057776
Total;27 años;2070;587.421,54579
Total;27 años;2069;587.001,450716
Total;27 años;2068;585.789,883489
Total;27 años;2067;583.836,277514
Total;27 años;2066;581.235,637698
Total;27 años;2065;578.090,670875
Total;27 años;2064;574.557,695394
Total;27 años;2063;569.236,781175
Total;27 años;2062;563.754,109748
Total;27 años;2061;558.235,331699
Total;27 años;2060;552.834,061218
Total;27 años;2059;547.672,027862
Total;27 años;2058;542.796,117591
Total;27 años;2057;538.241,732948
Total;27 años;2056;534.041,214283
Total;27 años;2055;530.215,046737
Total;27 años;2054;526.771,540967
Total;27 años;2053;523.775,716793
Total;27 años;2052;521.327,808921
Total;27 años;2051;519.507,316337
Total;27 años;2050;518.443,236075
Total;27 años;2049;520.343,73204
Total;27 años;2048;522.626,288748
Total;27 años;2047;537.125,446803
Total;27 años;2046;547.947,185511
Total;27 años;2045;567.362,91417
Total;27 años;2044;584.380,014189
Total;27 años;2043;592.933,290928
Total;27 años;2042;598.483,377004
Total;27 años;2041;594.531,584453
Total;27 años;2040;618.478,073389
Total;27 años;2039;636.196,271605
Total;27 años;2038;642.277,652991
Total;27 años;2037;653.894,143717
Total;27 años;2036;681.291,387784
Total;27 años;2035;665.622,653371
Total;27 años;2034;662.551,23428
Total;27 años;2033;651.299,778437
Total;27 años;2032;643.239,913354
Total;27 años;2031;631.909,944238
Total;27 años;2030;609.954,170686
Total;27 años;2029;600.285,785599
Total;27 años;2028;589.853,173632
Total;27 años;2027;568.604,842512
Total;27 años;2026;544.787,168934
Total;27 años;2025;535.836,85574
Total;27 años;2024;518.101,046487
Total;27 años;2023;504.583,330979
Total;27 años;2022;496.666,740934
Total;28 años;2072;598.741,638748
Total;28 años;2071;599.065,826067
Total;28 años;2070;598.569,624397
Total;28 años;2069;597.286,00454
Total;28 años;2068;595.264,115147
Total;28 años;2067;592.598,534465
Total;28 años;2066;589.391,400825
Total;28 años;2065;585.798,257063
Total;28 años;2064;580.425,871199
Total;28 años;2063;574.889,512263
Total;28 años;2062;569.312,80444
Total;28 años;2061;563.847,836831
Total;28 años;2060;558.615,633814
Total;28 años;2059;553.662,64189
Total;28 años;2058;549.024,09466
Total;28 años;2057;544.732,261582
Total;28 años;2056;540.808,305931
Total;28 años;2055;537.261,401674
Total;28 años;2054;534.157,17471
Total;28 años;2053;531.597,00781
Total;28 años;2052;529.661,562718
Total;28 años;2051;528.480,22901
Total;28 años;2050;530.262,08664
Total;28 años;2049;532.459,34846
Total;28 años;2048;546.810,996466
Total;28 años;2047;557.470,175354
Total;28 años;2046;576.683,743396
Total;28 años;2045;593.499,812237
Total;28 años;2044;601.896,134803
Total;28 años;2043;607.311,921739
Total;28 años;2042;603.273,896517
Total;28 años;2041;627.001,328902
Total;28 años;2040;644.503,574395
Total;28 años;2039;650.393,248442
Total;28 años;2038;661.789,824315
Total;28 años;2037;688.890,948319
Total;28 años;2036;673.594,724522
Total;28 años;2035;671.106,237725
Total;28 años;2034;660.623,115665
Total;28 años;2033;653.281,548818
Total;28 años;2032;642.697,977222
Total;28 años;2031;621.518,891122
Total;28 años;2030;612.594,654016
Total;28 años;2029;602.774,278438
Total;28 años;2028;582.183,658703
Total;28 años;2027;559.121,033729
Total;28 años;2026;550.603,106322
Total;28 años;2025;533.239,733081
Total;28 años;2024;519.900,359966
Total;28 años;2023;512.061,032716
Total;28 años;2022;514.625,640972
Total;29 años;2072;610.166,366131
Total;29 años;2071;609.594,439128
Total;29 años;2070;608.239,17932
Total;29 años;2069;606.149,497033
Total;29 años;2068;603.419,429502
Total;29 años;2067;600.150,641283
Total;29 años;2066;596.497,805134
Total;29 años;2065;591.074,771706
Total;29 años;2064;585.485,7043
Total;29 años;2063;579.852,217609
Total;29 años;2062;574.324,979841
Total;29 años;2061;569.024,177949
Total;29 años;2060;563.995,947192
Total;29 años;2059;559.275,280055
Total;29 años;2058;554.894,417319
Total;29 años;2057;550.875,177292
Total;29 años;2056;547.227,527152
Total;29 años;2055;544.017,723104
Total;29 años;2054;541.348,131919
Total;29 años;2053;539.300,571785
Total;29 años;2052;538.004,693676
Total;29 años;2051;539.669,492147
Total;29 años;2050;541.781,550687
Total;29 años;2049;555.983,52533
Total;29 años;2048;566.480,404673
Total;29 años;2047;585.490,516989
Total;29 años;2046;602.105,404967
Total;29 años;2045;610.346,065584
Total;29 años;2044;615.628,761584
Total;29 años;2043;611.507,118118
Total;29 años;2042;635.013,613969
Total;29 años;2041;652.300,276863
Total;29 años;2040;658.001,89265
Total;29 años;2039;669.181,171947
Total;29 años;2038;695.986,849476
Total;29 años;2037;680.559,822813
Total;29 años;2036;678.333,442513
Total;29 años;2035;668.433,57057
Total;29 años;2034;661.767,692431
Total;29 años;2033;651.851,396677
Total;29 años;2032;631.404,050738
Total;29 años;2031;623.131,831099
Total;29 años;2030;613.973,427566
Total;29 años;2029;594.107,168362
Total;29 años;2028;571.805,617812
Total;29 años;2027;563.851,271882
Total;29 años;2026;547.049,170712
Total;29 años;2025;534.031,03219
Total;29 años;2024;526.432,129321
Total;29 años;2023;529.101,940804
Total;29 años;2022;530.040,313934
Total;30 años;2072;620.014,286273
Total;30 años;2071;618.588,501548
Total;30 años;2070;616.432,059693
Total;30 años;2069;613.638,500954
Total;30 años;2068;610.308,916367
Total;30 años;2067;606.597,213333
Total;30 años;2066;601.124,392626
Total;30 años;2065;595.483,569133
Total;30 años;2064;589.794,454951
Total;30 años;2063;584.206,30813
Total;30 años;2062;578.838,579309
Total;30 años;2061;573.736,985002
Total;30 años;2060;568.936,407583
Total;30 años;2059;564.468,995768
Total;30 años;2058;560.357,230182
Total;30 años;2057;556.611,846367
Total;30 años;2056;553.299,658524
Total;30 años;2055;550.524,005921
Total;30 años;2054;548.367,710799
Total;30 años;2053;546.960,706996
Total;30 años;2052;548.511,054222
Total;30 años;2051;550.539,014071
Total;30 años;2050;564.591,683518
Total;30 años;2049;574.928,709258
Total;30 años;2048;593.737,350549
Total;30 años;2047;610.153,898092
Total;30 años;2046;618.242,239017
Total;30 años;2045;623.394,750839
Total;30 años;2044;619.192,804096
Total;30 años;2043;642.480,43635
Total;30 años;2042;659.555,274374
Total;30 años;2041;665.074,800197
Total;30 años;2040;676.042,30856
Total;30 años;2039;702.557,970309
Total;30 años;2038;687.008,784827
Total;30 años;2037;684.575,645524
Total;30 años;2036;674.955,667077
Total;30 años;2035;668.790,428426
Total;30 años;2034;659.498,14459
Total;30 años;2033;639.704,46315
Total;30 años;2032;632.040,682056
Total;30 años;2031;623.460,273429
Total;30 años;2030;604.346,530342
Total;30 años;2029;582.844,454445
Total;30 años;2028;575.465,594706
Total;30 años;2027;559.326,651707
Total;30 años;2026;546.801,342782
Total;30 años;2025;539.562,232024
Total;30 años;2024;542.471,158708
Total;30 años;2023;543.507,257551
Total;30 años;2022;527.169,74202
Total;31 años;2072;628.319,387994
Total;31 años;2071;626.097,720176
Total;31 años;2070;623.242,04054
Total;31 años;2069;619.852,916039
Total;31 años;2068;616.083,410048
Total;31 años;2067;610.561,709001
Total;31 años;2066;604.870,067397
Total;31 años;2065;599.126,41279
Total;31 años;2064;593.478,683365
Total;31 años;2063;588.045,606318
Total;31 años;2062;582.872,586236
Total;31 años;2061;577.994,289809
Total;31 años;2060;573.442,900739
Total;31 años;2059;569.241,477596
Total;31 años;2058;565.401,521634
Total;31 años;2057;561.990,378225
Total;31 años;2056;559.112,271737
Total;31 años;2055;556.851,018074
Total;31 años;2054;555.336,724978
Total;31 años;2053;556.776,043181
Total;31 años;2052;558.721,861093
Total;31 años;2051;572.627,87783
Total;31 años;2050;582.809,442774
Total;31 años;2049;601.421,456402
Total;31 años;2048;617.645,201054
Total;31 años;2047;625.586,187321
Total;31 años;2046;630.612,821797
Total;31 años;2045;626.334,284772
Total;31 años;2044;649.408,617287
Total;31 años;2043;666.278,345879
Total;31 años;2042;671.623,495148
Total;31 años;2041;682.387,218987
Total;31 años;2040;708.622,400043
Total;31 años;2039;692.959,408438
Total;31 años;2038;690.330,225198
Total;31 años;2037;680.556,72069
Total;31 años;2036;674.612,757504
Total;31 años;2035;665.781,912501
Total;31 años;2034;646.598,708588
Total;31 años;2033;639.472,917621
Total;31 años;2032;631.433,14807
Total;31 años;2031;612.980,025908
Total;31 años;2030;592.282,351184
Total;31 años;2029;585.524,7032
Total;31 años;2028;570.043,331758
Total;31 años;2027;558.103,570836
Total;31 años;2026;551.368,922723
Total;31 años;2025;554.619,1682
Total;31 años;2024;555.903,005484
Total;31 años;2023;539.818,25242
Total;31 años;2022;534.916,658671
Total;32 años;2072;635.169,318938
Total;32 años;2071;632.253,181614
Total;32 años;2070;628.805,976004
Total;32 años;2069;624.979,985236
Total;32 años;2068;619.410,246866
Total;32 años;2067;613.668,689101
Total;32 años;2066;607.871,50638
Total;32 años;2065;602.165,411225
Total;32 años;2064;596.668,482671
Total;32 años;2063;591.425,833975
Total;32 años;2062;586.472,012346
Total;32 años;2061;581.839,132536
Total;32 años;2060;577.550,92073
Total;32 años;2059;573.619,565235
Total;32 años;2058;570.112,938048
Total;32 años;2057;567.136,102041
Total;32 años;2056;564.773,794186
Total;32 años;2055;563.156,322136
Total;32 años;2054;564.488,567533
Total;32 años;2053;566.354,828934
Total;32 años;2052;580.118,766926
Total;32 años;2051;590.150,760935
Total;32 años;2050;608.573,400304
Total;32 años;2049;624.611,960432
Total;32 años;2048;632.411,835595
Total;32 años;2047;637.317,853848
Total;32 años;2046;632.966,549802
Total;32 años;2045;655.835,983749
Total;32 años;2044;672.509,58251
Total;32 años;2043;677.689,276201
Total;32 años;2042;688.258,99468
Total;32 años;2041;714.226,548575
Total;32 años;2040;698.457,447441
Total;32 años;2039;695.643,529565
Total;32 años;2038;685.725,965638
Total;32 años;2037;679.608,097874
Total;32 años;2036;670.983,460307
Total;32 años;2035;652.259,69245
Total;32 años;2034;645.636,525316
Total;32 años;2033;638.076,755741
Total;32 años;2032;620.237,778229
Total;32 años;2031;600.243,642609
Total;32 años;2030;594.123,896513
Total;32 años;2029;579.328,947981
Total;32 años;2028;567.972,138817
Total;32 años;2027;561.817,000024
Total;32 años;2026;565.535,267471
Total;32 años;2025;567.157,444289
Total;32 años;2024;551.447,34378
Total;32 años;2023;546.490,711745
Total;32 años;2022;542.549,481571
Total;33 años;2072;640.717,173607
Total;33 años;2071;637.213,452011
Total;33 años;2070;633.332,347363
Total;33 años;2069;627.715,379324
Total;33 años;2068;621.924,658416
Total;33 años;2067;616.074,836158
Total;33 años;2066;610.311,443657
Total;33 años;2065;604.751,978452
Total;33 años;2064;599.441,324195
Total;33 años;2063;594.413,929938
Total;33 años;2062;589.701,92532
Total;33 años;2061;585.329,57403
Total;33 años;2060;581.309,829659
Total;33 años;2059;577.711,033125
Total;33 años;2058;574.639,060475
Total;33 años;2057;572.179,527032
Total;33 años;2056;570.462,922944
Total;33 años;2055;571.692,345745
Total;33 años;2054;573.481,957141
Total;33 años;2053;587.109,789496
Total;33 años;2052;596.999,046784
Total;33 años;2051;615.241,210768
Total;33 años;2050;631.103,602421
Total;33 años;2049;638.769,218001
Total;33 años;2048;643.560,385878
Total;33 años;2047;639.139,819795
Total;33 años;2046;661.814,645846
Total;33 años;2045;678.302,415651
Total;33 años;2044;683.325,938241
Total;33 años;2043;693.712,308694
Total;33 años;2042;719.427,03941
Total;33 años;2041;703.558,448457
Total;33 años;2040;700.570,852864
Total;33 años;2039;690.517,986852
Total;33 años;2038;684.236,480631
Total;33 años;2037;675.457,741987
Total;33 años;2036;656.958,14471
Total;33 años;2035;650.704,82149
Total;33 años;2034;643.596,320233
Total;33 años;2033;626.304,755645
Total;33 años;2032;606.958,432531
Total;33 años;2031;601.396,920104
Total;33 años;2030;587.291,581351
Total;33 años;2029;576.548,823564
Total;33 años;2028;570.964,534313
Total;33 años;2027;575.216,7086
Total;33 años;2026;577.291,509972
Total;33 años;2025;562.027,532205
Total;33 años;2024;557.157,116745
Total;33 años;2023;553.252,507477
Total;33 años;2022;551.078,373231
Total;34 años;2072;645.132,989629
Total;34 años;2071;641.198,156115
Total;34 años;2070;635.534,652082
Total;34 años;2069;629.695,475692
Total;34 años;2068;623.793,764529
Total;34 años;2067;617.974,034012
Total;34 años;2066;612.353,22687
Total;34 años;2065;606.976,036535
Total;34 años;2064;601.876,864641
Total;34 años;2063;597.087,876913
Total;34 años;2062;592.633,918815
Total;34 años;2061;588.528,579663
Total;34 años;2060;584.840,754983
Total;34 años;2059;581.677,07313
Total;34 años;2058;579.123,997512
Total;34 años;2057;577.312,204396
Total;34 años;2056;578.443,135876
Total;34 años;2055;580.159,226449
Total;34 años;2054;593.657,821474
Total;34 años;2053;603.411,705596
Total;34 años;2052;621.483,311653
Total;34 años;2051;637.179,350536
Total;34 años;2050;644.717,889444
Total;34 años;2049;649.400,158634
Total;34 años;2048;644.913,58772
Total;34 años;2047;667.405,247112
Total;34 años;2046;683.718,250416
Total;34 años;2045;688.594,948155
Total;34 años;2044;698.809,05855
Total;34 años;2043;724.286,953796
Total;34 años;2042;708.324,590471
Total;34 años;2041;705.174,105234
Total;34 años;2040;694.994,100146
Total;34 años;2039;688.558,867516
Total;34 años;2038;679.635,4442
Total;34 años;2037;661.028,813019
Total;34 años;2036;654.936,374802
Total;34 años;2035;648.161,998303
Total;34 años;2034;631.382,271755
Total;34 años;2033;612.612,750061
Total;34 años;2032;607.572,020443
Total;34 años;2031;594.073,620915
Total;34 años;2030;583.953,787138
Total;34 años;2029;578.966,932861
Total;34 años;2028;583.745,940054
Total;34 años;2027;586.335,096165
Total;34 años;2026;571.612,249219
Total;34 años;2025;566.924,606516
Total;34 años;2024;563.188,220508
Total;34 años;2023;560.982,305196
Total;34 años;2022;557.449,841649
Total;35 años;2072;648.630,469002
Total;35 años;2071;642.921,084264
Total;35 años;2070;637.034,104009
Total;35 años;2069;631.081,260694
Total;35 años;2068;625.206,075598
Total;35 años;2067;619.525,062174
Total;35 años;2066;614.082,729112
Total;35 años;2065;608.913,454061
Total;35 años;2064;604.049,479016
Total;35 años;2063;599.516,224431
Total;35 años;2062;595.327,944101
Total;35 años;2061;591.553,979812
Total;35 años;2060;588.301,778754
Total;35 años;2059;585.658,593989
Total;35 años;2058;583.755,29568
Total;35 años;2057;584.791,907652
Total;35 años;2056;586.437,47781
Total;35 años;2055;599.813,90911
Total;35 años;2054;609.439,659131
Total;35 años;2053;627.350,655514
Total;35 años;2052;642.890,032591
Total;35 años;2051;650.308,324842
Total;35 años;2050;654.887,27209
Total;35 años;2049;650.337,329633
Total;35 años;2048;672.657,144369
Total;35 años;2047;688.805,979812
Total;35 años;2046;693.544,409346
Total;35 años;2045;703.596,633539
Total;35 años;2044;728.853,039568
Total;35 años;2043;712.801,458039
Total;35 años;2042;709.497,707299
Total;35 años;2041;699.197,607242
Total;35 años;2040;692.617,397482
Total;35 años;2039;683.557,485472
Total;35 años;2038;664.849,063968
Total;35 años;2037;658.618,070198
Total;35 años;2036;651.988,625878
Total;35 años;2035;635.604,029587
Total;35 años;2034;617.370,321783
Total;35 años;2033;612.796,604551
Total;35 años;2032;599.861,868737
Total;35 años;2031;590.293,143965
Total;35 años;2030;585.909,890243
Total;35 años;2029;591.241,845906
Total;35 años;2028;594.339,268143
Total;35 años;2027;580.204,452024
Total;35 años;2026;575.818,357903
Total;35 años;2025;572.326,681825
Total;35 años;2024;570.216,438236
Total;35 años;2023;566.698,693209
Total;35 años;2022;570.797,682087
Total;36 años;2072;649.914,27895
Total;36 años;2071;643.980,534935
Total;36 años;2070;637.977,70277
Total;36 años;2069;632.048,395797
Total;36 años;2068;626.308,694901
Total;36 años;2067;620.803,009791
Total;36 años;2066;615.565,694557
Total;36 años;2065;610.629,079403
Total;36 años;2064;606.019,166707
Total;36 años;2063;601.750,862856
Total;36 años;2062;597.893,995986
Total;36 años;2061;594.556,717065
Total;36 años;2060;591.827,122391
Total;36 años;2059;589.836,264694
Total;36 años;2058;590.783,029729
Total;36 años;2057;592.361,467762
Total;36 años;2056;605.623,216866
Total;36 años;2055;615.128,417536
Total;36 años;2054;632.889,093999
Total;36 años;2053;648.281,813118
Total;36 años;2052;655.586,988185
Total;36 años;2051;660.068,538485
Total;36 años;2050;655.458,185587
Total;36 años;2049;677.617,961742
Total;36 años;2048;693.613,681846
Total;36 años;2047;698.222,611036
Total;36 años;2046;708.123,6467
Total;36 años;2045;733.174,392171
Total;36 años;2044;717.038,221034
Total;36 años;2043;713.590,975131
Total;36 años;2042;703.177,961765
Total;36 años;2041;696.461,726399
Total;36 años;2040;687.273,690077
Total;36 años;2039;668.468,757958
Total;36 años;2038;662.108,087161
Total;36 años;2037;655.350,213576
Total;36 años;2036;639.179,280025
Total;36 años;2035;621.366,819794
Total;36 años;2034;617.233,787888
Total;36 años;2033;604.806,023678
Total;36 años;2032;595.753,367939
Total;36 años;2031;591.906,458924
Total;36 años;2030;597.800,70598
Total;36 años;2029;601.434,013984
Total;36 años;2028;587.873,518371
Total;36 años;2027;583.865,292304
Total;36 años;2026;580.720,58895
Total;36 años;2025;578.786,525848
Total;36 años;2024;575.396,26304
Total;36 años;2023;579.436,732132
Total;36 años;2022;589.814,406047
Total;37 años;2072;650.558,241336
Total;37 años;2071;644.506,698275
Total;37 años;2070;638.524,724445
Total;37 años;2069;632.728,014581
Total;37 años;2068;627.160,851872
Total;37 años;2067;621.857,632921
Total;37 años;2066;616.850,772382
Total;37 años;2065;612.166,833097
Total;37 años;2064;607.821,369104
Total;37 años;2063;603.884,697806
Total;37 años;2062;600.465,694972
Total;37 años;2061;597.653,177978
Total;37 años;2060;595.578,463091
Total;37 años;2059;596.439,525337
Total;37 años;2058;597.953,899435
Total;37 años;2057;611.107,697268
Total;37 años;2056;620.499,155408
Total;37 años;2055;638.118,738623
Total;37 años;2054;653.373,684357
Total;37 años;2053;660.572,039497
Total;37 años;2052;664.961,420244
Total;37 años;2051;660.293,226425
Total;37 años;2050;682.303,316305
Total;37 años;2049;698.155,582556
Total;37 años;2048;702.642,742692
Total;37 años;2047;712.401,954863
Total;37 años;2046;737.260,800432
Total;37 años;2045;721.044,217748
Total;37 años;2044;717.462,15066
Total;37 años;2043;706.942,656947
Total;37 años;2042;700.098,402936
Total;37 años;2041;690.789,745311
Total;37 años;2040;671.893,191975
Total;37 años;2039;665.410,623293
Total;37 años;2038;658.532,00045
Total;37 años;2037;642.315,138285
Total;37 años;2036;624.748,750512
Total;37 años;2035;620.957,671061
Total;37 años;2034;609.004,709638
Total;37 años;2033;600.417,855007
Total;37 años;2032;597.072,6736
Total;37 años;2031;603.466,617745
Total;37 años;2030;607.644,494976
Total;37 años;2029;594.675,401374
Total;37 años;2028;591.059,63177
Total;37 años;2027;588.324,919308
Total;37 años;2026;586.670,741924
Total;37 años;2025;583.478,585368
Total;37 años;2024;587.573,0357
Total;37 años;2023;597.721,94736
Total;37 años;2022;612.151,901002
Total;38 años;2072;650.676,787688
Total;38 años;2071;644.643,953034
Total;38 años;2070;638.792,249516
Total;38 años;2069;633.165,847681
Total;38 años;2068;627.799,154472
Total;38 años;2067;622.724,720241
Total;38 años;2066;617.969,639188
Total;38 años;2065;613.550,08073
Total;38 años;2064;609.536,854351
Total;38 años;2063;606.039,548135
Total;38 años;2062;603.147,707229
Total;38 años;2061;600.992,819724
Total;38 años;2060;601.772,173634
Total;38 años;2059;603.225,413242
Total;38 años;2058;616.277,230757
Total;38 años;2057;625.561,104232
Total;38 años;2056;643.047,721154
Total;38 años;2055;658.172,806626
Total;38 años;2054;665.270,054986
Total;38 años;2053;669.572,070863
Total;38 años;2052;664.848,657359
Total;38 años;2051;686.718,090338
Total;38 años;2050;702.435,481484
Total;38 años;2049;706.807,970232
Total;38 años;2048;716.433,872922
Total;38 años;2047;741.112,870063
Total;38 años;2046;724.820,314088
Total;38 años;2045;721.111,637615
Total;38 años;2044;710.492,022222
Total;38 años;2043;703.527,477485
Total;38 años;2042;694.105,481642
Total;38 años;2041;675.122,511758
Total;38 años;2040;668.525,450137
Total;38 años;2039;661.533,348493
Total;38 años;2038;645.272,966699
Total;38 años;2037;627.706,139952
Total;38 años;2036;624.098,973017
Total;38 años;2035;612.521,696963
Total;38 años;2034;604.372,508777
Total;38 años;2033;601.479,811749
Total;38 años;2032;608.341,003154
Total;38 años;2031;613.003,699181
Total;38 años;2030;600.626,406567
Total;38 años;2029;597.442,42304
Total;38 años;2028;595.124,604012
Total;38 años;2027;593.817,910953
Total;38 años;2026;590.918,42768
Total;38 años;2025;595.140,638158
Total;38 años;2024;605.190,343433
Total;38 años;2023;619.306,717753
Total;38 años;2022;632.167,835546
Total;39 años;2072;650.404,562267
Total;39 años;2071;644.500,250039
Total;39 años;2070;638.817,198415
Total;39 años;2069;633.389,825945
Total;39 años;2068;628.250,784332
Total;39 años;2067;623.427,718511
Total;39 años;2066;618.937,380013
Total;39 años;2065;614.851,044163
Total;39 años;2064;611.278,995593
Total;39 años;2063;608.311,486558
Total;39 años;2062;606.080,207559
Total;39 años;2061;606.781,719108
Total;39 años;2060;608.176,662974
Total;39 años;2059;621.131,721893
Total;39 años;2058;630.313,566328
Total;39 años;2057;647.674,279758
Total;39 años;2056;662.676,454953
Total;39 años;2055;669.677,830543
Total;39 años;2054;673.896,93992
Total;39 años;2053;669.121,056855
Total;39 años;2052;690.857,600632
Total;39 años;2051;706.447,695875
Total;39 años;2050;710.712,108636
Total;39 años;2049;720.212,419985
Total;39 años;2048;744.722,097482
Total;39 años;2047;728.358,387408
Total;39 años;2046;724.530,978389
Total;39 años;2045;713.817,653253
Total;39 años;2044;706.740,371438
Total;39 años;2043;697.212,282534
Total;39 años;2042;678.148,465316
Total;39 años;2041;671.444,124428
Total;39 años;2040;664.345,555446
Total;39 años;2039;648.044,448209
Total;39 años;2038;630.476,913933
Total;39 años;2037;626.826,636285
Total;39 años;2036;615.471,215221
Total;39 años;2035;607.667,191588
Total;39 años;2034;605.197,9592
Total;39 años;2033;612.479,020533
Total;39 años;2032;617.594,469383
Total;39 años;2031;605.744,728652
Total;39 años;2030;603.011,535996
Total;39 años;2029;601.141,259135
Total;39 años;2028;600.195,259899
Total;39 años;2027;597.649,443959
Total;39 años;2026;602.095,516485
Total;39 años;2025;612.132,340032
Total;39 años;2024;626.068,627201
Total;39 años;2023;638.636,980601
Total;39 años;2022;667.839,838704
Total;40 años;2072;649.850,648048
Total;40 años;2071;644.113,765797
Total;40 años;2070;638.628,721627
Total;40 años;2069;633.428,261376
Total;40 años;2068;628.540,526357
Total;40 años;2067;623.982,860661
Total;40 años;2066;619.826,980464
Total;40 años;2065;616.183,823663
Total;40 años;2064;613.144,327003
Total;40 años;2063;610.840,38764
Total;40 años;2062;611.467,852578
Total;40 años;2061;612.807,229134
Total;40 años;2060;625.670,121184
Total;40 años;2059;634.754,967183
Total;40 años;2058;651.995,957886
Total;40 años;2057;666.881,3595
Total;40 años;2056;673.791,652425
Total;40 años;2055;677.932,049911
Total;40 años;2054;673.106,527516
Total;40 años;2053;694.716,88906
Total;40 años;2052;710.186,426946
Total;40 años;2051;714.348,913087
Total;40 años;2050;723.730,697172
Total;40 años;2049;748.080,284495
Total;40 años;2048;731.650,541453
Total;40 años;2047;727.711,947078
Total;40 años;2046;716.911,302936
Total;40 años;2045;709.728,659397
Total;40 años;2044;700.101,622068
Total;40 años;2043;680.962,840042
Total;40 años;2042;674.158,199473
Total;40 años;2041;666.960,012747
Total;40 años;2040;650.621,279222
Total;40 años;2039;633.053,392839
Total;40 años;2038;629.362,617457
Total;40 años;2037;618.012,720749
Total;40 años;2036;610.409,516534
Total;40 años;2035;608.274,023448
Total;40 años;2034;615.946,245895
Total;40 años;2033;621.468,001553
Total;40 años;2032;610.108,768553
Total;40 años;2031;607.780,196257
Total;40 años;2030;606.369,115498
Total;40 años;2029;605.817,781394
Total;40 años;2028;603.635,316116
Total;40 años;2027;608.368,770588
Total;40 años;2026;618.498,79298
Total;40 años;2025;632.343,953394
Total;40 años;2024;644.744,522851
Total;40 años;2023;673.355,539199
Total;40 años;2022;697.281,942854
Total;41 años;2072;649.058,880861
Total;41 años;2071;643.519,197179
Total;41 años;2070;638.260,514959
Total;41 años;2069;633.311,441165
Total;41 años;2068;628.689,858085
Total;41 años;2067;624.467,935066
Total;41 años;2066;620.757,226126
Total;41 años;2065;617.649,305461
Total;41 años;2064;615.276,276143
Total;41 años;2063;615.833,221705
Total;41 años;2062;617.119,63677
Total;41 años;2061;629.894,371427
Total;41 años;2060;638.886,70211
Total;41 años;2059;656.013,34105
Total;41 años;2058;670.787,33281
Total;41 años;2057;677.610,801113
Total;41 años;2056;681.676,239488
Total;41 años;2055;676.803,771659
Total;41 años;2054;698.293,624429
Total;41 años;2053;713.648,402432
Total;41 años;2052;717.714,446129
Total;41 años;2051;726.983,920848
Total;41 años;2050;751.181,294935
Total;41 años;2049;734.690,452376
Total;41 años;2048;730.647,592315
Total;41 años;2047;719.765,600665
Total;41 años;2046;712.484,398375
Total;41 años;2045;702.765,066846
Total;41 años;2044;683.557,041237
Total;41 años;2043;676.658,546618
Total;41 años;2042;669.366,982916
Total;41 años;2041;652.993,676292
Total;41 años;2040;635.425,99636
Total;41 años;2039;631.696,944898
Total;41 años;2038;620.352,359315
Total;41 años;2037;612.747,068714
Total;41 años;2036;610.807,231892
Total;41 años;2035;618.784,25915
Total;41 años;2034;624.683,169398
Total;41 años;2033;613.764,436024
Total;41 años;2032;611.816,543804
Total;41 años;2031;610.815,207238
Total;41 años;2030;610.672,741658
Total;41 años;2029;608.882,356583
Total;41 años;2028;613.916,577893
Total;41 años;2027;624.213,393804
Total;41 años;2026;638.072,588926
Total;41 años;2025;650.386,24091
Total;41 años;2024;678.571,27253
Total;41 años;2023;702.107,750713
Total;41 años;2022;731.093,988665
Total;42 años;2072;648.071,70193
Total;42 años;2071;642.757,922449
Total;42 años;2070;637.750,76172
Total;42 años;2069;633.068,606153
