Year,Pop_G4,Pop_G3,Pop_G2,Pop_G1,Contributors,Beneficiaries,PAYG_Contributions,PAYG_Costs,Capitalized_Contributions,Capitalized_Accumulated,Capitalized_Payouts,GDP,Pension_to_GDP,Fiscal_Balance
2035,8890272.33706,8924532.735666,9349048.310166,24185724.426983,18273581.045832,24185724.426983,38374520196.24721,399064453045.21954,38374520196.24721,631437939505.232,399064453045.21954,1740811237537.7234,22.924050835613464,-360689932848.97235
2036,8839363.086073,8916243.559816,9384770.618842,24349779.824647,18301014.178658,24349779.824647,38432129775.18181,401771367106.6755,38432129775.18181,720385104440.8324,401771367106.6755,1766923406100.789,22.73847104630848,-363339237331.49365
2037,8795571.453573,8891012.938494,9436620.818948,24492162.912673,18327633.757442,24492162.912673,38488030890.628204,404120688059.10455,38488030890.628204,816503943686.7272,404120688059.10455,1793427257192.3008,22.53343069468987,-365632657168.4763
2038,8765441.363634,8852480.391711,9502002.279266,24620849.926792,18354482.670977,24620849.926792,38544413609.051704,406244023792.06805,38544413609.051704,920368672790.7172,406244023792.06805,1820328666050.1853,22.31707006370179,-367699610183.01636
2039,8757119.888666,8779472.924137,9586669.145895,24742180.25027,18366142.070032,24742180.25027,38568898347.0672,408245974129.4551,38568898347.0672,1032567064961.0417,408245974129.4551,1847633596040.9375,22.09561327550193,-369677075782.3879
2040,8772276.743564,8679284.385398,9682290.365451999,24854205.039571002,18361574.75085,24854205.039571002,38559306976.785,410094383152.9215,38559306976.785,1153731737134.71,410094383152.9215,1875348099981.5518,21.86764063466168,-371535076176.1365
2041,8801325.923281,8563151.100252,9785446.222371,24947921.193948,18348597.322623,24947921.193948,38532054377.5083,411640699700.1421,38532054377.5083,1284562330482.995,411640699700.1421,1903478321481.2747,21.62570989407465,-373108645322.6338
2042,8846903.941708,8423776.734411,9898573.074839,25038534.714549,18322349.809249997,25038534.714549,38476934599.425,413135822790.0586,38476934599.425,1425804251521.0598,413135822790.0586,1932030496303.4937,21.38350422420874,-374658888190.6336
2043,8895583.079241,8280618.075869,10005936.014564,25127608.686194,18286554.090433,25127608.686194,38401763589.90931,414605543322.201,38401763589.90931,1578270355232.654,414605543322.201,1961010953748.046,21.14243893078581,-376203779732.2917
2044,8946264.056935,8120992.675675,10136498.87237,25197575.399735,18257491.548045002,25197575.399735,38340732250.89451,415759994095.62756,38340732250.89451,1742872715902.1611,415759994095.62756,1990426118054.2664,20.88798927648981,-377419261844.73303
2045,8995129.124062,7989148.708668,10250709.195645,25250379.484341,18239857.904313,25250379.484341,38303701599.05731,416631261491.6265,38303701599.05731,1920606234773.3916,416631261491.6265,2020282509825.0803,20.62242579765239,-378327559892.5692
2046,9040651.473663,7870522.938373,10353913.017793,25294775.414343998,18224435.956166,25294775.414343998,38271315507.9486,417363794336.676,38271315507.9486,2112526049063.2117,417363794336.676,2050586747472.4563,20.35338396930131,-379092478828.7274
2047,9081530.354263,7760375.766202,10445813.004305,25339345.393354,18206188.770507,25339345.393354,38232996418.064705,418099198990.341,38232996418.064705,2319761129406.3335,418099198990.341,2081345548684.5427,20.08792817966191,-379866202572.2763
2048,9116703.569782,7670640.653685,10511387.222784,25384804.368997,18182027.876469,25384804.368997,38182258540.58491,418849272088.45056,38182258540.58491,2543524278299.4253,418849272088.45056,2112565731914.8108,19.82656756004507,-380667013547.86566
2049,9145386.191085,7607888.868695,10551851.661981,25422406.526496,18159740.530676,25422406.526496,38135455114.4196,419469707687.184,38135455114.4196,2785141675677.799,419469707687.184,2144254217893.5327,19.56249889526913,-381334252572.7644
2050,9167019.51203,7545578.193976,10580604.607159,25470515.612645,18126182.801135,25470515.612645,38064983882.3835,420263507608.6425,38064983882.3835,3046017993614.4062,420263507608.6425,2176418031161.9353,19.30987069539551,-382198523726.25903
2051,9181217.241098,7493255.236236,10589467.673596,25527654.272812,18082722.909832,25527654.272812,37973718110.6472,421206295501.398,37973718110.6472,3327673151214.206,421206295501.398,2209064301629.3643,19.067181303447082,-383232577390.7508
2052,9187779.176884,7454109.581081,10584265.740171,25582987.780577,18038375.321252,25582987.780577,37880588174.6292,422119298379.52057,37880588174.6292,3631767591485.972,422119298379.52057,2242200266153.8047,18.82611935924929,-384238710204.89136
2053,9186683.548824,7436553.599359,10557264.795448,25635194.885887,17993818.394807,25635194.885887,37787018629.0947,422980715617.1355,37787018629.0947,3960096017433.945,422980715617.1355,2275833270146.1113,18.585751476863663,-385193696988.0408
2054,9178097.74511,7443172.052788001,10494015.380111,25699029.999136,17937187.432899,25699029.999136,37668093609.0879,424033994985.7441,37668093609.0879,4314571792437.7485,424033994985.7441,2309970769198.3027,18.356682285330784,-386365901376.6562
2055,9162363.747166,7465837.296055,10412160.498655,25765772.631647,17877997.794710003,25765772.631647,37543795368.891014,425135248422.1755,37543795368.891014,4697281331201.659,425135248422.1755,2344620330736.277,18.132370637964698,-387591453053.2845
2056,9140052.401454,7508360.084881,10310335.727397,25831781.289409,17818695.812278003,25831781.289409,37419261205.78381,426224391275.24854,37419261205.78381,5110483098903.576,426224391275.24854,2379789635697.321,17.91017091938705,-388805130069.4647
2057,9111942.087885,7558912.11398,10196792.104934,25901867.582625,17755704.218914,25901867.582625,37286978859.719406,427380815113.31256,37286978859.719406,5556608725675.582,427380815113.31256,2415486480232.781,17.693363991510555,-390093836253.59314
2058,9078956.805209,7616695.897956,10078756.193538,25968366.179428,17695452.091494,25968366.179428,37160449392.137405,428478041960.562,37160449392.137405,6038297873121.767,428478041960.562,2451718777436.2725,17.47663907883495,-391317592568.4246
2059,9043674.620288,7676881.346137,9947016.145294,26046468.094026,17623897.491430998,26046468.094026,37010184732.0051,429766723551.4291,37010184732.0051,6558371887703.514,429766723551.4291,2488494559097.816,17.27014921452099,-392756538819.42395
2060,9007189.815035,7738272.982478,9842272.920824,26096828.10599,17580545.903302,26096828.10599,36919146396.934204,430597663748.835,36919146396.934204,7119960785116.7295,430597663748.835,2525821977484.283,17.047823147762376,-393678517351.9008
2061,8970676.835928,7799651.237915,9750445.401273,26134671.560061,17550096.639188,26134671.560061,36855202942.2948,431222080741.00653,36855202942.2948,7726412850868.363,431222080741.00653,2563709307146.547,16.820240872822055,-394366877798.71173
2062,8935302.83255,7859785.879881,9666932.903653,26167304.015501,17526718.783533998,26167304.015501,36806109445.4214,431760516255.76654,36806109445.4214,8381331988383.255,431760516255.76654,2602164946753.745,16.59235771331086,-394954406810.34515
2063,8902216.23759,7917464.181993,9603259.630149,26182990.875833,17520723.812142,26182990.875833,36793520005.49821,432019349451.2445,36793520005.49821,9088632067459.414,432019349451.2445,2641197420955.051,16.356950299270977,-395225829445.7463
2064,8872509.801157,7971502.363268,9565808.635019,26175800.097572,17537310.998287,26175800.097572,36828353096.4027,431900701609.938,36828353096.4027,9852550985952.57,431900701609.938,2680815382269.3765,16.110796158007844,-395072348513.5353
2065,8847203.570821,8020706.668408,9529060.22499,26171412.926291,17549766.893397998,26171412.926291,36854510476.135796,431828313283.8015,36854510476.135796,10677609575304.914,431828313283.8015,2721027613003.417,15.870045243942155,-394973802807.6657
